Training POS tagger....
Averaging weights....
Done!

Training dependency parser....
0 0.622
1 0.706
2 0.749
3 0.774
4 0.794
5 0.809
6 0.822
7 0.831
8 0.840
9 0.846
10 0.849
11 0.853
12 0.857
13 0.859
14 0.862
Averaging weights....
Done!

Saving model to model/parser.pickle
13 12.8 14 14
14 % 10 7
15 , 10 7
16 to 2 2
17 1385.72 16 16
18 was 0 27
19 the 21 21
20 Frankfurt 21 21
21 market 24 24
22 's 21 21
23 steepest 24 24
24 fall 18 18
25 ever 24 24
26 . 18 18

0 ROOT ROOT None
1 Retail 2 2
2 investors 3 3
3 dumped 0 21
4 holdings 3 3
5 on 3 4
6 a 8 8
7 massive 8 8
8 scale 5 5
9 , 3 3
10 pushing 3 3
11 some 13 13
12 blue-chip 13 13
13 shares 10 10
14 down 10 13
15 as 18 18
16 much 18 18
17 as 18 18
18 20 19 19
19 % 14 14
20 . 3 3

0 ROOT ROOT None
1 Analysts 2 2
2 cited 0 37
3 memories 2 2
4 of 3 3
5 two 6 6
6 years 4 7
7 ago 6 4
8 , 6 27
9 when 13 27
10 many 12 12
11 small 12 12
12 investors 13 9
13 held 6 12
14 on 13 13
15 to 14 13
16 their 17 17
17 shares 15 15
18 after 13 13
19 the 21 21
20 October 21 21
21 crash 18 18
22 but 13 9
23 the 26 26
24 West 25 26
25 German 26 26
26 market 27 27
27 continued 13 2
28 to 29 29
29 decline 27 27
30 steeply 29 29
31 for 29 29
32 the 35 35
33 next 35 35
34 three 35 35
35 months 31 31
36 . 2 2

0 ROOT ROOT None
1 Here 2 2
2 are 0 24
3 price 4 4
4 trends 2 2
5 on 4 4
6 the 7 7
7 world 11 11
8 's 7 7
9 major 11 11
10 stock 11 11
11 markets 5 5
12 , 4 4
13 as 14 14
14 calculated 4 4
15 by 14 14
16 Morgan 20 20
17 Stanley 20 20
18 Capital 20 20
19 International 20 20
20 Perspective 15 15
21 , 20 20
22 Geneva 20 20
23 . 2 2

0 ROOT ROOT None
1 To 2 2
2 make 10 10
3 them 5 5
4 directly 5 5
5 comparable 2 2
6 , 10 10
7 each 8 8
8 index 10 10
9 is 10 10
10 based 0 19
11 on 10 10
12 the 13 13
13 close 16 16
14 of 13 13
15 1969 14 14
16 equaling 11 11
17 100 16 16
18 . 10 10

0 ROOT ROOT None
1 The 3 3
2 percentage 3 3
3 change 4 4
4 is 0 8
5 since 4 4
6 year-end 5 5
7 . 4 4

0 ROOT ROOT None
1 Frank 3 3
2 Lloyd 3 3
3 Wright 5 5
4 is 5 5
5 reported 0 28
6 to 8 7
7 have 8 5
8 said 5 5
9 once 8 13
10 that 23 13
11 if 13 13
12 you 13 13
13 tipped 23 8
14 the 15 15
15 world 13 13
16 on 13 13
17 its 18 18
18 side 16 16
19 , 23 13
20 everything 23 13
21 loose 20 23
22 would 23 23
23 end 8 20
24 up 23 23
25 in 23 23
26 California 25 25
27 . 5 5

0 ROOT ROOT None
1 We 4 4
2 've 4 4
3 always 4 4
4 thought 0 34
5 that 8 8
6 Mr. 7 7
7 Wright 8 8
8 underestimated 4 4
9 California 11 11
10 's 9 9
11 vitality 8 8
12 , 4 4
13 but 4 4
14 maybe 21 4
15 the 16 16
16 state 19 19
17 's 16 16
18 la-la 19 19
19 factions 21 14
20 are 21 21
21 starting 4 14
22 to 23 23
23 overwhelm 21 21
24 the 25 25
25 forces 23 23
26 that 27 27
27 made 25 25
28 it 32 32
29 such 32 32
30 a 32 32
31 significant 32 32
32 place 27 27
33 . 4 4

0 ROOT ROOT None
1 What 6 3
2 else 1 1
3 is 6 28
4 one 6 6
5 to 6 6
6 make 0 3
7 of 6 6
8 the 11 11
9 whacky 11 11
10 save-the-earth 11 11
11 initiative 7 7
12 just 13 13
13 proposed 11 6
14 by 13 13
15 several 18 18
16 major 18 18
17 environmental 18 18
18 groups 14 14
19 and 13 13
20 organized 13 13
21 by 20 20
22 the 23 23
23 state 26 26
24 's 23 23
25 attorney 26 26
26 general 21 21
27 ? 6 3

0 ROOT ROOT None
1 If 2 2
2 passed 12 9
3 by 2 2
4 the 5 5
5 voters 3 3
6 , 12 9
7 the 10 9
8 recently 9 9
9 announced 10 32
10 initiative 12 12
11 would 12 12
12 phase 0 9
13 out 12 12
14 major 15 15
15 pesticides 12 12
16 , 12 15
17 reduce 12 20
18 carbon 20 20
19 dioxide 20 20
20 emissions 17 15
21 by 17 12
22 40 23 23
23 % 21 21
24 , 12 23
25 ban 12 28
26 new 28 28
27 offshore 28 28
28 drilling 25 23
29 , 12 32
30 ban 12 31
31 chemicals 30 32
32 thought 31 66
33 to 34 34
34 deplete 32 32
35 the 37 37
36 ozone 37 37
37 layer 34 34
38 , 12 32
39 and 12 32
40 create 12 32
41 a 45 43
42 new 45 43
43 state 45 45
44 environmental 45 45
45 officer 40 40
46 armed 45 40
47 with 46 46
48 a 52 52
49 $ 52 52
50 40 51 51
51 million 49 49
52 budget 47 47
53 to 54 54
54 sue 52 46
55 any 56 56
56 firm 54 54
57 or 56 56
58 agency 56 62
59 he 60 60
60 thinks 56 62
61 is 62 62
62 being 60 56
63 too 64 64
64 dirty 62 62
65 . 12 32

0 ROOT ROOT None
1 The 2 2
2 initiative 4 4
3 is 4 4
4 based 0 42
5 largely 4 4
6 on 4 4
7 the 8 8
8 wish-lists 6 6
9 of 8 8
10 the 12 12
11 green 12 12
12 lobby 9 9
13 : 12 4
14 the 16 16
15 Sierra 16 16
16 Club 12 4
17 , 16 16
18 the 19 19
19 League 16 16
20 of 19 19
21 Conservation 22 22
22 Voters 20 20
23 , 16 22
24 the 28 28
25 Natural 28 28
26 Resources 28 28
27 Defense 28 28
28 Council 16 22
29 , 16 28
30 the 33 33
31 National 33 33
32 Toxics 33 33
33 Campaign 16 28
34 and 16 22
35 the 36 36
36 Citizens 16 22
37 for 36 16
38 a 40 40
39 Better 40 40
40 Environment 37 37
41 . 4 4

0 ROOT ROOT None
1 Interestingly 8 8
2 , 8 8
3 the 6 6
4 Environmental 6 6
5 Defense 6 6
6 Fund 8 8
7 is 8 8
8 having 0 16
9 nothing 8 8
10 to 11 11
11 do 9 9
12 with 11 11
13 this 14 14
14 one 12 12
15 . 8 8

0 ROOT ROOT None
1 Not 2 2
2 only 3 14
3 Californians 8 2
4 but 3 2
5 all 6 6
6 Americans 3 8
7 would 8 8
8 pay 0 2
9 if 12 12
10 this 11 11
11 thing 12 9
12 passed 8 8
13 . 8 2

0 ROOT ROOT None
1 The 2 3
2 initiative 3 3
3 bars 0 20
4 the 5 5
5 sale 3 3
6 of 5 5
7 any 8 8
8 crops 6 6
9 in 5 8
10 California 9 9
11 that 14 14
12 do 14 14
13 n't 14 14
14 meet 5 5
15 the 16 16
16 initiative 18 18
17 's 16 16
18 standards 14 14
19 . 3 3

0 ROOT ROOT None
1 Kansas 3 3
2 wheat 3 3
3 farmers 9 9
4 and 3 3
5 Florida 7 7
6 fruit 7 7
7 growers 3 9
8 would 9 9
9 have 0 19
10 to 11 11
11 adjust 9 9
12 or 11 11
13 give 11 11
14 up 13 13
15 the 17 17
16 California 17 17
17 market 13 13
18 . 9 9

0 ROOT ROOT None
1 In 7 7
2 other 3 3
3 words 1 1
4 , 7 7
5 California 7 7
6 is 7 7
7 presuming 0 18
8 to 9 9
9 take 7 7
10 control 9 9
11 of 10 10
12 the 13 13
13 nation 16 16
14 's 13 13
15 farm 16 16
16 policy 11 11
17 . 7 7

0 ROOT ROOT None
1 As 9 9
2 usual 1 5
3 the 5 5
4 green 5 5
5 lobby 7 7
6 's 5 5
7 proposal 9 9
8 is 9 9
9 disconnected 0 14
10 from 9 9
11 scientific 12 12
12 reality 10 10
13 . 9 9

0 ROOT ROOT None
1 Consider 0 6
2 the 4 4
3 greenhouse-effect 4 4
4 provision 1 1
5 . 1 1

0 ROOT ROOT None
1 The 3 3
2 proposed 3 3
3 initiative 5 5
4 would 5 5
5 mandate 0 15
6 a 7 7
7 reduction 5 5
8 of 7 7
9 carbon 10 10
10 dioxide 8 8
11 of 7 10
12 40 13 13
13 % 11 11
14 . 5 5

0 ROOT ROOT None
1 Even 4 3
2 if 4 3
3 one 4 4
4 buys 12 12
5 into 4 4
6 the 9 9
7 whole 9 9
8 greenhouse 9 9
9 theory 5 5
10 , 12 12
11 it 12 12
12 is 0 33
13 inconceivable 12 12
14 that 21 21
15 reductions 21 14
16 in 15 15
17 a 19 19
18 single 19 19
19 state 16 16
20 could 21 21
21 have 12 12
22 any 23 23
23 impact 21 21
24 on 23 23
25 what 27 27
26 is 27 27
27 billed 24 24
28 as 27 27
29 a 31 31
30 global 31 31
31 problem 28 28
32 . 12 12

0 ROOT ROOT None
1 But 19 7
2 if 7 7
3 rational 4 4
4 science 7 2
5 and 4 4
6 economics 4 7
7 have 19 19
8 nothing 7 19
9 to 10 10
10 do 8 19
11 with 10 10
12 the 15 15
13 new 15 15
14 environment 15 15
15 initiative 11 11
16 , 19 19
17 what 19 19
18 is 19 19
19 going 0 22
20 on 19 19
21 ? 19 19

0 ROOT ROOT None
1 The 3 3
2 first 3 3
3 place 9 9
4 to 5 5
5 look 3 3
6 under 9 5
7 these 8 8
8 circumstances 6 6
9 is 0 21
10 at 9 9
11 the 12 12
12 ways 10 10
13 in 19 12
14 which 13 13
15 the 16 16
16 sponsors 19 13
17 themselves 16 19
18 will 19 19
19 benefit 12 12
20 . 9 9

0 ROOT ROOT None
1 The 2 2
2 key 4 4
3 here 4 4
4 is 0 16
5 the 6 6
6 ambition 4 4
7 of 6 6
8 state 14 14
9 Attorney 14 14
10 General 14 14
11 John 14 14
12 Van 14 14
13 de 14 14
14 Kamp 7 7
15 . 4 4

0 ROOT ROOT None
1 He 3 3
2 's 3 3
3 running 0 7
4 for 3 3
5 governor 4 4
6 . 3 3

0 ROOT ROOT None
1 Mr. 4 4
2 Van 4 4
3 de 4 4
4 Kamp 5 5
5 is 0 40
6 the 7 7
7 one 5 5
8 who 9 9
9 collected 7 7
10 the 11 11
11 plans 9 9
12 from 9 11
13 the 17 17
14 various 17 17
15 radical 17 17
16 environmental 17 17
17 groups 12 12
18 and 9 9
19 cobbled 9 9
20 them 19 19
21 into 19 19
22 a 25 25
23 single 25 25
24 unwieldy 25 25
25 initiative 21 21
26 to 28 28
27 be 28 28
28 placed 25 19
29 on 28 28
30 the 31 31
31 ballot 29 29
32 for 28 31
33 election 32 32
34 on 28 33
35 Nov. 34 34
36 6 35 35
37 , 35 35
38 1990 35 35
39 . 5 5

0 ROOT ROOT None
1 That 2 2
2 's 0 11
3 also 2 2
4 the 5 5
5 day 2 2
6 of 5 5
7 the 9 9
8 gubernatorial 9 9
9 election 6 6
10 . 2 2

0 ROOT ROOT None
1 The 2 3
2 initiative 3 3
3 seems 0 7
4 to 7 7
5 have 7 7
6 been 7 7
7 crafted 3 25
8 to 9 9
9 include 7 7
10 all 13 13
11 the 13 13
12 hot 13 13
13 issues 9 9
14 that 15 15
15 set 13 13
16 off 15 15
17 the 20 20
18 wealthy 20 20
19 Hollywood 20 20
20 weepers 15 15
21 who 22 22
22 donate 20 20
23 money 22 22
24 . 3 7

0 ROOT ROOT None
1 And 3 3
2 it 3 3
3 allows 0 15
4 Mr. 7 5
5 Van 7 6
6 de 7 3
7 Kamp 9 9
8 to 9 9
9 get 3 6
10 around 9 9
11 campaign 13 13
12 spending 13 13
13 limits 10 10
14 . 3 3

0 ROOT ROOT None
1 He 3 3
2 can 3 3
3 spend 0 31
4 the 6 6
5 legal 6 6
6 maximum 3 3
7 for 6 6
8 his 9 9
9 campaign 7 7
10 ; 3 3
11 all 13 13
12 the 13 13
13 spending 28 3
14 for 13 13
15 the 19 19
16 Van 19 19
17 de 19 19
18 Kamp 19 19
19 initiative 14 14
20 ( 24 24
21 on 24 24
22 which 21 21
23 there 24 24
24 are 19 3
25 no 26 26
26 limits 24 24
27 ) 24 24
28 is 3 29
29 gravy 28 3
30 . 3 3

0 ROOT ROOT None
1 This 2 2
2 initiative 5 5
3 is 5 5
4 being 5 5
5 labeled 0 20
6 The 8 8
7 Big 8 8
8 Green 5 5
9 , 5 5
10 but 5 5
11 maybe 15 15
12 it 15 15
13 should 15 15
14 be 15 15
15 called 5 5
16 The 18 18
17 Big 18 18
18 Greenback 15 15
19 . 5 5

0 ROOT ROOT None
1 ( 11 11
2 The 4 4
3 Republican 4 4
4 candidate 11 11
5 , 4 4
6 Sen. 8 8
7 Pete 8 8
8 Wilson 4 4
9 , 4 4
10 is 11 11
11 playing 0 25
12 the 15 15
13 initiative 15 15
14 fundraising 15 15
15 game 11 11
16 too 11 15
17 , 11 11
18 sponsoring 11 11
19 his 22 22
20 own 22 22
21 crime 22 22
22 initiative 18 18
23 . 11 11
24 ) 11 11

0 ROOT ROOT None
1 While 3 3
2 it 3 3
3 is 16 29
4 possible 3 3
5 that 12 12
6 the 9 8
7 Big 9 8
8 Green 9 12
9 initiative 12 12
10 will 12 12
11 be 12 12
12 ruled 3 3
13 unconstitutional 12 12
14 , 16 16
15 it 16 16
16 is 0 12
17 of 16 16
18 course 17 19
19 conceivable 16 17
20 that 26 26
21 in 26 26
22 modern 23 21
23 California 21 26
24 it 26 26
25 could 26 26
26 slide 16 16
27 through 26 26
28 . 16 3

0 ROOT ROOT None
1 This 2 2
2 is 0 14
3 the 4 4
4 state 2 2
5 that 7 7
6 recently 7 7
7 passed 4 4
8 the 12 9
9 Prop. 12 12
10 65 12 12
11 anti-toxic 12 12
12 initiative 7 7
13 . 2 2

0 ROOT ROOT None
1 If 7 7
2 this 4 4
3 new 4 4
4 proposal 7 7
5 ever 7 6
6 does 7 7
7 become 14 14
8 law 7 7
9 , 14 14
10 the 12 12
11 green 12 12
12 lobby 14 14
13 will 14 14
14 benefit 0 17
15 directly 14 14
16 . 14 14

0 ROOT ROOT None
1 The 2 2
2 initiative 3 3
3 creates 0 24
4 a 9 7
5 free 6 7
6 floating 9 7
7 state 9 9
8 environmental 9 9
9 officer 3 3
10 to 11 11
11 sue 9 3
12 companies 11 11
13 or 12 12
14 government 15 15
15 agencies 12 12
16 that 17 15
17 do 12 16
18 things 17 17
19 he 22 22
20 does 22 22
21 n't 22 22
22 like 18 18
23 . 3 3

0 ROOT ROOT None
1 That 2 2
2 means 0 26
3 the 4 4
4 NRDC 11 11
5 and 4 4
6 such 7 7
7 groups 4 11
8 no 9 9
9 longer 11 11
10 would 11 11
11 have 2 2
12 to 13 13
13 spend 11 11
14 as 16 16
15 much 16 16
16 money 13 13
17 on 13 13
18 litigation 17 17
19 ; 2 2
20 taxpayers 22 22
21 would 22 22
22 bear 2 2
23 the 24 24
24 cost 22 22
25 . 2 2

0 ROOT ROOT None
1 Mr. 4 2
2 Van 4 3
3 de 4 44
4 Kamp 10 3
5 and 4 4
6 his 7 7
7 allies 4 9
8 may 10 9
9 be 10 3
10 hoping 0 9
11 that 14 14
12 the 13 13
13 environment 14 14
14 is 10 39
15 such 17 39
16 a 17 17
17 mom 14 15
18 and 17 17
19 apple-pie 20 20
20 issue 17 17
21 among 14 20
22 certain 23 23
23 segments 21 21
24 of 23 23
25 California 27 27
26 's 25 25
27 population 24 24
28 now 14 39
29 that 39 39
30 almost 32 31
31 any 32 32
32 collection 39 39
33 of 32 32
34 anti-scientific 37 37
35 , 37 37
36 anti-pocketbook 37 37
37 nonsense 33 39
38 can 39 39
39 pass 14 10
40 under 39 39
41 its 42 42
42 rubric 40 40
43 . 10 3

0 ROOT ROOT None
1 Of 7 15
2 course 1 6
3 the 4 4
4 state 6 6
5 's 4 4
6 liberals 7 1
7 are 0 6
8 not 7 7
9 yet 7 7
10 a 11 11
11 nation 7 7
12 unto 11 11
13 themselves 12 12
14 . 7 7

0 ROOT ROOT None
1 George 2 2
2 Bush 8 8
3 , 8 2
4 for 8 8
5 example 4 4
6 , 8 4
7 may 8 8
8 decide 0 31
9 that 13 13
10 he 13 13
11 does 13 13
12 n't 13 13
13 want 8 8
14 to 15 15
15 be 13 13
16 the 17 17
17 President 15 15
18 who 19 19
19 lost 17 17
20 control 19 19
21 of 20 20
22 interstate 23 23
23 commerce 21 21
24 to 19 19
25 an 26 27
26 attorney 24 27
27 general 26 24
28 from 26 27
29 California 28 28
30 . 8 8

0 ROOT ROOT None
1 And 14 13
2 some 4 4
3 other 4 4
4 segments 14 13
5 of 4 4
6 California 11 11
7 's 6 6
8 political 11 11
9 and 8 8
10 media 8 11
11 culture 5 13
12 may 14 13
13 yet 14 43
14 start 0 13
15 to 16 16
16 point 14 14
17 out 16 16
18 that 22 22
19 the 20 20
20 initiative 22 22
21 would 22 22
22 impose 16 16
23 significant 24 24
24 costs 22 22
25 on 22 22
26 the 27 27
27 state 31 31
28 's 27 27
29 less 30 30
30 affluent 31 31
31 citizens 25 25
32 in 22 31
33 the 34 34
34 form 32 32
35 of 34 34
36 higher 38 38
37 food 38 38
38 prices 35 35
39 and 38 38
40 lost 41 41
41 jobs 38 38
42 . 14 13

0 ROOT ROOT None
1 This 3 2
2 grandiose 3 39
3 initiative 5 5
4 will 5 5
5 help 0 2
6 California 7 7
7 define 5 5
8 itself 7 7
9 for 7 5
10 the 11 11
11 future 9 9
12 either 13 11
13 as 7 17
14 a 15 15
15 state 13 17
16 still 17 17
17 tethered 15 2
18 to 17 17
19 economic 22 22
20 and 19 19
21 scientific 19 22
22 reality 18 18
23 , 13 22
24 or 13 18
25 as 13 28
26 one 25 28
27 being 28 28
28 led 26 17
29 to 28 30
30 wherever 34 28
31 its 33 33
32 la-la 33 33
33 activists 34 34
34 want 29 30
35 to 36 36
36 take 34 34
37 it 36 36
38 . 5 2

0 ROOT ROOT None
1 First 4 4
2 , 4 4
3 there 4 4
4 was 0 9
5 a 7 7
6 death 7 7
7 watch 4 4
8 . 4 4

0 ROOT ROOT None
1 Then 2 2
2 exhilaration 0 4
3 . 2 2

0 ROOT ROOT None
1 Spurred 16 16
2 by 1 1
3 waves 2 2
4 of 3 3
5 large-scale 6 6
6 buying 4 4
7 in 6 6
8 blue-chip 9 9
9 stocks 7 7
10 , 16 16
11 the 15 15
12 Dow 15 15
13 Jones 15 15
14 Industrial 15 15
15 Average 16 16
16 rallied 0 34
17 yesterday 16 16
18 and 16 16
19 erased 16 16
20 about 22 19
21 a 22 22
22 half 19 20
23 of 22 22
24 Friday 27 27
25 's 24 24
26 190.58-point 27 27
27 plunge 23 23
28 , 19 19
29 gaining 19 19
30 88.12 29 29
31 to 29 29
32 2657.38 31 31
33 . 16 16

0 ROOT ROOT None
1 It 2 2
2 was 0 35
3 the 5 5
4 fourth-biggest 5 5
5 advance 2 2
6 for 5 2
7 the 8 8
8 average 6 6
9 of 8 8
10 30 12 12
11 blue 12 12
12 chips 9 9
13 , 5 2
14 on 5 2
15 frenetic 20 20
16 New 20 20
17 York 20 20
18 Stock 20 20
19 Exchange 20 20
20 volume 14 14
21 of 20 20
22 416,290,000 23 23
23 shares 21 21
24 -- 20 26
25 the 26 26
26 highest 20 2
27 since 26 26
28 the 29 29
29 days 27 27
30 after 29 29
31 the 33 33
32 1987 33 33
33 crash 30 30
34 . 2 2

0 ROOT ROOT None
1 While 4 4
2 the 3 3
3 advance 4 4
4 cheered 16 12
5 investors 4 12
6 who 7 7
7 feared 5 5
8 a 10 10
9 1987-style 10 10
10 crash 12 12
11 would 12 12
12 occur 7 32
13 yesterday 12 12
14 , 16 16
15 it 16 16
16 was 0 12
17 strictly 16 16
18 a 20 20
19 big-stock 20 20
20 rally 16 16
21 fed 20 20
22 by 21 21
23 huge 24 24
24 buying 22 22
25 by 24 24
26 bargain-hunting 27 27
27 institutions 25 25
28 and 27 27
29 program 30 30
30 traders 27 27
31 . 16 12

0 ROOT ROOT None
1 A 3 3
2 troubling 3 3
3 sign 0 37
4 : 3 3
5 Declining 6 3
6 stocks 11 5
7 on 6 5
8 the 10 12
9 Big 10 12
10 Board 7 12
11 outnumbered 3 12
12 advancers 11 7
13 , 11 12
14 975 16 13
15 to 16 12
16 749 11 15
17 , 11 3
18 and 11 3
19 the 21 21
20 over-the-counter 21 21
21 market 27 3
22 that 23 23
23 includes 21 21
24 many 26 26
25 smaller 26 26
26 stocks 23 27
27 suffered 11 23
28 aftershocks 27 27
29 of 28 28
30 Friday 35 35
31 's 30 30
32 late 35 35
33 Big 35 35
34 Board 35 35
35 plunge 29 29
36 . 3 3

0 ROOT ROOT None
1 The 4 4
2 Nasdaq 4 4
3 OTC 4 4
4 index 5 5
5 closed 0 11
6 down 5 5
7 6.31 6 6
8 to 6 5
9 460.98 8 8
10 . 5 5

0 ROOT ROOT None
1 Meanwhile 30 30
2 , 30 30
3 in 30 30
4 a 5 5
5 divergence 3 3
6 in 5 3
7 two 6 6
8 of 7 7
9 the 10 10
10 market 14 14
11 's 10 10
12 most 13 13
13 important 14 14
14 indicators 8 8
15 , 30 7
16 the 18 18
17 Dow 18 18
18 industrials 21 21
19 ' 18 18
20 sister 21 21
21 average 30 3
22 , 21 3
23 the 28 28
24 20-stock 28 28
25 Dow 28 28
26 Jones 28 28
27 Transportation 28 28
28 Average 21 22
29 , 21 3
30 tumbled 0 48
31 102.06 30 30
32 to 30 30
33 1304.23 32 32
34 -- 30 30
35 its 37 37
36 second-worst 37 37
37 decline 30 30
38 next 37 37
39 to 38 38
40 the 42 42
41 164.78-point 42 42
42 fall 39 39
43 during 42 30
44 the 46 46
45 1987 46 46
46 crash 43 43
47 . 30 30

0 ROOT ROOT None
1 Transports 2 2
2 plunged 0 34
3 on 2 2
4 takeover 5 5
5 disappointments 3 3
6 in 5 2
7 two 9 9
8 airline 9 9
9 stocks 6 6
10 , 9 6
11 UAL 9 2
12 and 11 11
13 AMR 11 11
14 , 9 11
15 which 17 17
16 each 17 17
17 fell 9 2
18 more 19 19
19 than 20 20
20 20 21 21
21 % 17 17
22 when 24 24
23 they 24 24
24 reopened 17 17
25 for 24 24
26 trading 25 27
27 yesterday 24 25
28 after 24 24
29 being 30 30
30 suspended 28 32
31 Friday 32 32
32 afternoon 30 28
33 . 2 2

0 ROOT ROOT None
1 UAL 16 16
2 , 1 1
3 the 5 5
4 takeover 5 5
5 stock 1 1
6 at 5 5
7 the 8 8
8 center 6 6
9 of 8 8
10 Friday 14 14
11 's 10 10
12 190.58-point 14 14
13 market 14 14
14 plunge 9 9
15 , 1 1
16 fell 0 28
17 56 18 18
18 7/8 16 16
19 to 16 16
20 222 21 21
21 7/8 19 19
22 on 16 16
23 nearly 25 24
24 2.3 25 25
25 million 26 26
26 shares 22 22
27 . 16 16

0 ROOT ROOT None
1 Overall 5 5
2 , 5 1
3 `` 5 1
4 this 5 5
5 is 16 16
6 a 8 8
7 pleasant 8 8
8 rally 5 5
9 but 5 5
10 it 11 11
11 's 5 5
12 very 13 13
13 selective 11 11
14 , 16 16
15 '' 16 16
16 said 0 31
17 Arthur 19 19
18 Cashin 19 19
19 Jr. 16 16
20 , 19 19
21 a 25 25
22 veteran 25 25
23 PaineWebber 25 25
24 Inc. 25 25
25 trader 19 19
26 at 25 25
27 the 29 29
28 Big 29 29
29 Board 26 26
30 . 16 16

0 ROOT ROOT None
1 `` 3 26
2 Everyone 3 3
3 was 0 1
4 a 5 21
5 little 6 4
6 concerned 3 5
7 about 6 6
8 the 10 10
9 general 10 10
10 narrowness 7 7
11 of 10 10
12 the 13 13
13 rally 11 11
14 and 10 13
15 failure 10 13
16 of 15 15
17 the 19 19
18 OTC 19 19
19 market 16 16
20 to 21 21
21 get 15 3
22 into 21 21
23 plus 24 24
24 territory 22 22
25 . 3 3

0 ROOT ROOT None
1 It 2 2
2 's 0 8
3 just 6 6
4 a 6 6
5 strange 6 6
6 feeling 2 2
7 . 2 2

0 ROOT ROOT None
1 I 4 4
2 do 4 4
3 n't 4 4
4 think 0 13
5 anyone 6 4
6 left 4 5
7 the 8 8
8 place 6 6
9 whistling 6 8
10 Dixie 9 9
11 . 4 4
12 '' 4 4

0 ROOT ROOT None
1 The 2 2
2 rally 3 3
3 gave 0 40
4 credence 3 3
5 , 3 3
6 at 3 3
7 least 6 6
8 for 6 3
9 now 8 8
10 , 3 3
11 to 3 3
12 the 14 14
13 pre-trading 14 14
14 declaration 11 11
15 of 14 14
16 Big 22 22
17 Board 22 22
18 Chairman 22 22
19 John 22 22
20 J. 22 22
21 Phelan 22 22
22 Jr. 15 15
23 that 28 28
24 Friday 27 27
25 's 24 24
26 market 27 27
27 debacle 28 28
28 was 14 14
29 `` 28 28
30 an 32 32
31 abnormal 32 32
32 condition 28 28
33 , 32 32
34 and 32 32
35 not 32 32
36 a 37 37
37 disaster 32 32
38 . 3 3
39 '' 3 3

0 ROOT ROOT None
1 But 6 6
2 to 6 1
3 traders 2 2
4 , 6 6
5 it 6 6
6 looked 0 16
7 like 6 6
8 disaster 7 7
9 on 6 8
10 the 14 12
11 9:30 14 12
12 a.m. 14 9
13 opening 14 12
14 bell 9 13
15 . 6 6

0 ROOT ROOT None
1 The 5 5
2 Dow 5 5
3 Jones 5 5
4 Industrial 5 5
5 Average 6 6
6 opened 0 13
7 down 6 6
8 1.64 7 7
9 shortly 10 8
10 after 6 9
11 9:30 10 10
12 . 6 6

0 ROOT ROOT None
1 But 21 21
2 most 21 21
3 of 2 2
4 the 7 7
5 30 7 7
6 blue-chip 7 7
7 stocks 3 3
8 in 7 2
9 the 10 10
10 average 8 8
11 , 2 2
12 including 2 21
13 Eastman 14 14
14 Kodak 12 17
15 and 14 14
16 General 17 17
17 Motors 14 12
18 , 2 21
19 could 21 21
20 n't 21 21
21 trade 0 38
22 because 23 23
23 of 21 21
24 the 26 26
25 heavy 26 26
26 backlog 23 23
27 of 26 26
28 sell 29 29
29 orders 27 30
30 left 29 26
31 over 30 32
32 from 30 30
33 Friday 36 36
34 's 33 33
35 late-afternoon 36 36
36 rout 32 32
37 . 21 21

0 ROOT ROOT None
1 At 18 18
2 9:45 1 1
3 , 18 2
4 Procter 18 18
5 & 4 4
6 Gamble 4 4
7 -- 8 4
8 one 4 4
9 of 8 8
10 the 14 14
11 most 12 12
12 important 14 14
13 Dow 14 14
14 bellwethers 9 9
15 of 8 14
16 late 15 15
17 -- 8 8
18 opened 0 25
19 down 18 18
20 2 21 21
21 3/4 19 19
22 to 19 18
23 117 22 22
24 . 18 18

0 ROOT ROOT None
1 The 2 2
2 Dow 3 3
3 dropped 0 27
4 to 3 3
5 a 8 8
6 quick 8 8
7 27-point 8 8
8 loss 4 4
9 , 3 3
10 and 3 3
11 to 15 3
12 many 13 13
13 traders 11 11
14 it 15 15
15 looked 3 13
16 as 20 15
17 if 20 20
18 stocks 20 17
19 were 20 20
20 headed 15 16
21 for 20 20
22 yet 25 21
23 another 25 25
24 big 25 25
25 tumble 21 21
26 . 3 3

0 ROOT ROOT None
1 More 2 2
2 stocks 3 3
3 opened 0 39
4 over 3 3
5 the 8 8
6 ensuing 8 8
7 half 8 8
8 hour 4 4
9 , 3 3
10 as 24 3
11 the 16 16
12 49 16 16
13 Big 16 16
14 Board 16 16
15 specialist 16 16
16 firms 24 10
17 in 16 16
18 charge 17 17
19 of 18 18
20 keeping 19 19
21 the 22 22
22 market 23 24
23 orderly 20 24
24 groped 3 20
25 to 26 26
26 find 24 24
27 buy 28 28
28 orders 26 26
29 from 28 28
30 major 32 32
31 brokerage 32 32
32 firms 29 29
33 to 34 34
34 match 28 26
35 the 37 37
36 selling 37 37
37 flood 34 34
38 . 3 3

0 ROOT ROOT None
1 Then 11 20
2 , 11 1
3 to 4 4
4 make 11 1
5 matters 4 4
6 worse 4 5
7 , 11 5
8 computerized 10 10
9 sell 10 10
10 programs 11 5
11 kicked 0 10
12 in 11 11
13 , 11 5
14 hammering 11 5
15 stocks 14 14
16 into 14 14
